UBL_REFERENCENO,POLICY_STATUS,POLICY_STATUS_DATE
S782086,A,01/15/2024
S782181,A,01/15/2024
S782413,A,01/15/2024
S782334,A,01/15/2024
S782274,A,01/15/2024
S782463,A,01/15/2024
S780701,A,01/15/2024
S782045,A,01/15/2024
S782506,A,01/15/2024
S782630,A,01/15/2024
S781686,A,01/15/2024
S782393,A,01/15/2024
S782958,A,01/15/2024
S782069,A,01/15/2024
S781989,A,01/15/2024
S782125,A,01/15/2024
S782082,A,01/15/2024
S781491,A,01/15/2024
S782100,A,01/16/2024
S782380,A,01/16/2024
S782174,A,01/16/2024
S782394,A,01/16/2024
S782048,A,01/16/2024
S782601,A,01/16/2024
S781999,A,01/16/2024
S782214,A,01/16/2024
S782432,A,01/16/2024
S779163,A,01/16/2024
S782416,A,01/16/2024
S782375,A,01/16/2024
S782315,A,01/16/2024
S782368,A,01/16/2024
S782593,A,01/16/2024
S782036,A,01/16/2024
S781962,A,01/16/2024
S782672,A,01/16/2024
S782026,A,01/16/2024
S782487,A,01/16/2024
S782586,A,01/16/2024
S782289,A,01/16/2024
S782836,A,01/16/2024
S782518,A,01/17/2024
S782099,A,01/17/2024
S782667,A,01/17/2024
S782820,A,01/17/2024
S782853,A,01/17/2024
S782220,A,01/17/2024
S781642,A,01/17/2024
S782079,A,01/17/2024
S781997,A,01/17/2024
S782096,A,01/17/2024
S782739,A,01/17/2024
S782714,A,01/17/2024
S783134,A,01/17/2024
S780702,A,01/17/2024
S782852,A,01/17/2024
S782282,A,01/17/2024
S778742,A,01/17/2024
S781883,A,01/17/2024
S782406,A,01/17/2024
S782337,A,01/17/2024
S783113,A,01/17/2024
S783022,A,01/17/2024
S782390,A,01/17/2024
S782740,A,01/17/2024
S782105,A,01/17/2024
S782755,A,01/17/2024
S782575,A,01/17/2024
S783141,A,01/17/2024
S782917,A,01/18/2024
S782336,A,01/18/2024
S782718,A,01/18/2024
S782379,A,01/18/2024
S782362,A,01/18/2024
S782713,A,01/18/2024
S782758,A,01/18/2024
S782066,A,01/18/2024
S783101,A,01/18/2024
S782188,A,01/18/2024
S782822,A,01/18/2024
S781832,A,01/18/2024
S782921,A,01/18/2024
S781462,A,01/18/2024
S782011,A,01/18/2024
S782581,A,01/18/2024
S781753,A,01/18/2024
S782832,A,01/18/2024
S782331,A,01/18/2024
S781807,A,01/18/2024
S782374,A,01/18/2024
S782003,A,01/18/2024
S778934,A,01/18/2024
S782170,A,01/18/2024
S782341,A,01/18/2024
S783150,A,01/18/2024
S782194,A,01/18/2024
S780853,A,01/18/2024
S782933,A,01/19/2024
S783047,A,01/19/2024
S783453,A,01/19/2024
S783111,A,01/19/2024
S782163,A,01/19/2024
S782057,A,01/19/2024
S782738,A,01/19/2024
S783216,A,01/19/2024
S783189,A,01/19/2024
S783087,A,01/19/2024
S783023,A,01/19/2024
S782093,A,01/19/2024
S782587,A,01/19/2024
S782734,A,01/19/2024
S782950,A,01/19/2024
S782007,A,01/19/2024
S783183,A,01/19/2024
S782267,A,01/19/2024
S782491,A,01/19/2024
S779627,A,01/19/2024
S781754,A,01/19/2024
S781833,A,01/19/2024
S782971,A,01/19/2024
S783056,A,01/19/2024
S783287,A,01/19/2024
S782385,A,01/19/2024
S783342,A,01/22/2024
S782564,A,01/22/2024
S782579,A,01/22/2024
S782951,A,01/22/2024
S783135,A,01/22/2024
S783295,A,01/22/2024
S783327,A,01/22/2024
S782806,A,01/22/2024
S783064,A,01/22/2024
S783452,A,01/22/2024
S783288,A,01/22/2024
S783366,A,01/22/2024
S783058,A,01/22/2024
S783627,A,01/22/2024
S783592,A,01/22/2024
